##################################################
# SentiWordNet v3.0.0 (1 June 2010)
# Copyright 2010 ISTI-CNR.
# All right reserved.
#
# SentiWordNet is distributed under the Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0) license.
# http://creativecommons.org/licenses/by-sa/3.0/
#
# For any information about SentiWordNet:
# Web: http://sentiwordnet.isti.cnr.it
#
# The values PosScore and NegScore are the positivity and negativity
# score assigned by SentiWordNet.
# The objectivity score can be calculated as:
# ObjScore = 1 - (PosScore + NegScore)
#
# This is a shorter version of the list found in the SentiWordNet website, modified
# for this assignment.
#
# -------
# PosScore	NegScore	Word/Term
##################################################
0.75	0	promising
0	0	unlikely
0	0.625	dud
0.625	0	logical
0	0.5	inconsequential
0	0	snub
0	0	protracted
0	0.5	rumbling
0	0	loud
0.333	0.667	hateful
0.5	0	liked
0	0.375	disliked
0.5	0	loved
0	0.625	estranged
0	0.125	loveless
0.75	0	loving
0.5	0.125	fond
0.625	0.125	romantic
0	0.25	frigid
0.125	0	stellar
0.625	0	manageable
0	0.625	immaterial
0	0.25	overblown
0.125	0.125	immature
0.375	0	seasoned
0.125	0	meaningful
0.125	0	significant
0	0	purposeful
0.25	0.25	abysmal
0.625	0	lyrical
0	0	undissolved
0	0.25	fierce
0.125	0.25	intense
0.25	0.25	overwhelming
0.125	0.625	raging
0	0.875	wicked
0.25	0.25	terrific
0	0	warlike
0.125	0.25	fucking
0	0	racy
0	0	versatile
0.125	0.125	reasonable
0	0.25	immoderate
0.125	0.5	unreasonable
0.125	0.375	sinful
0.5	0.375	modest
0.75	0	righteous
0.125	0.75	immoral
0	0.5	shocking
0.333	0.667	illicit
0.75	0	principled
0.125	0	galore
0	0	motivated
0.25	0.25	haunting
0.25	0	heartwarming
0	0	restless
0.25	0.25	unreal
0	0.75	weird
0.25	0.125	miraculous
0	0	last-ditch
0.25	0.25	unneeded
0	0	gross
0	0.625	compulsive
0	0	delusional
0	0.625	phobic
0.75	0	pleasant
0.625	0	noble
0.375	0.375	ignoble
0	0.5	lowly
0	0	anomalous
0	0.125	freakish
0	0.25	abnormal
0	0.125	unnoticed
0	0.125	unobserved
0.25	0.25	unexplained
0.25	0.5	noxious
0	0.875	pestilent
0	0.625	disobedient
0	0.25	wayward
0.125	0	indebted
0	0	obstructed
0	0	occluded
0	0.875	creepy
0	0.5	morbid
0	0.875	outrageous
0	0.625	obnoxious
0	0	defensive
0	0	offending
0	0.625	unconfirmed
0	0.625	naive
0.125	0.5	archaic
0	0	fresh
0.5	0	refreshing
0.375	0	revolutionary
0.625	0.25	youthful
0	0.625	inopportune
0	0.625	conflicting
0.5	0.25	optimistic
0.5	0	bullish
0.625	0	upbeat
0	0.25	pessimistic
0	0.5	bearish
0.25	0.375	disorderly
0	0.375	unruly
0.625	0	progressive
0	0.25	disorganized
0	0.375	scrambled
0.125	0.625	ambiguous
0.75	0	wondrous
0.375	0	phenomenal
0	0	disturbed
0	0.625	confusing
0.375	0.125	daring
